Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last update,18.06.19,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Million euro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Konstanz,"6,120.64","6,502.10","6,272.29","6,501.32","6,410.55","6,697.67","7,148.06","7,605.82","7,789.46","7,482.79","7,675.70","7,937.33","8,223.72","8,760.02","8,934","9,073","9,426",:
Gießen,"6,829.78","7,114.55","7,195.04","7,261.81","7,320.77","7,288.37","7,540.78","7,912.23","8,048.36","7,312.98","7,579.42","7,815.08","7,868.10","7,888.26","8,375","8,662","9,088",:
Bayreuth,"6,329.74","6,443.63","6,423.39","6,257.82","6,272.06","6,331.39","6,526.23","6,777.33","6,942.47","7,016.75","7,172.73","7,598.47","7,900.71","8,090.70","8,391","8,699","9,065",:
Aschaffenburg,"9,734.82","10,474.51","10,603.44","10,896.31","10,816.29","11,306.87","12,027.65","12,625.36","12,367.10","11,793.98","12,288.85","13,498.59","13,474.12","13,525.64","13,691","13,987","14,813",:
Neubrandenburg,"5,153.85","5,247.76","5,241.65","5,469.23","5,566.55","5,432.63","5,704.08","5,884.49","5,822.43","5,801.07","5,819.37","5,931.45","6,088.66","6,188.52","6,345","6,606","6,560",:
Rosenheim,"6,675.47","6,873.38","7,096.69","7,025.16","7,340.78","7,487.75","7,865.42","8,170.26","8,484.50","8,284.45","8,506.79","9,154.85","9,461.30","9,706.64","10,247","10,597","10,911",:
Offenburg,"11,266.24","11,551.75","11,780.45","11,845.54","12,281.42","12,469.64","13,161.63","13,850.06","14,088.08","13,066.46","13,705.47","14,654.57","14,250.01","14,651.92","15,268","15,871","16,725",:
Görlitz,"4,035.80","4,099.82","4,347.57","4,354.38","4,501.97","4,569.92","4,746.87","5,282.63","5,313.12","5,364.37","5,558.23","5,740.94","5,931.88","6,058.53","6,269","6,416","6,611",:
Schweinfurt,"7,075.97","7,247.84","7,615.11","7,389.87","7,723.05","8,102.76","8,170.84","8,545.22","8,773.32","8,141.04","8,913.09","9,630.58","9,778.66","10,076.57","10,405","10,504","10,928",:
Wetzlar,"6,132.01","6,095.17","6,169.58","6,331.47","6,733","6,819.96","7,084.46","7,476.20","7,747.75","6,912.82","7,153.57","7,631.41","7,546.05","7,542.10","7,822","8,119","8,222",:
Braunschweig-Salzgitter-Wolfsburg,"28,897.72","29,863.90","28,418.11","28,987.08","29,375.18","30,624.64","31,351.10","33,288.07","33,531.68","30,756.79","35,222.89","38,668.07","39,557.33","40,592.82","42,852","40,360","50,536",:
Mannheim-Ludwigshafen,"36,430.83","37,007.18","38,563.03","39,077.76","40,359.43","40,262.47","41,196.73","42,968.16","43,989.77","42,095.35","44,519.58","46,060.62","46,918.37","47,585.21","48,524","51,236","52,746",:
Münster,"16,341.33","16,839.64","17,065.41","17,627.09","18,218.14","18,610.55","19,553.74","20,582.52","21,150.92","19,197.31","19,475.81","20,088.56","20,589.73","21,258.06","22,110","22,684","23,642",:
Aachen,"13,972.30","13,736.04","14,695.38","14,276.63","14,914.34","14,782.13","14,969.70","16,010.68","16,285.34","15,886.70","16,541.34","16,961.24","17,760.57","17,541.27","19,042","19,597","20,580",:
